No    | English        | Vietnamese     
1     | a              | nhỏ, một ít    
2     | abandon        | bỏ, từ bỏ      
3     | abandoned      | bị bỏ rơi, bị ruồng bỏ
4     | ability        | khả năng, năng lực
5     | able           | có năng lực, có tài
6     | about          | khoảng, về     
7     | above          | ở trên, lên trên
8     | abroad         | ở, ra nước ngoài, ngoài trời
9     | absence        | sự vắng mặt    
10    | absent         | vắng mặt, nghỉ 
11    | absolute       | tuyệt đối, hoàn toàn
12    | absolutely     | tuyệt đối, hoàn toàn
13    | absorb         | thu hút, hấp thu, lôi cuốn
14    | abuse          | lộng hành, lạm dụng
15    | academic       | thuộc học viện, đh, viện hàn lâm
16    | accent         | trọng âm, dấu trọng âm
17    | accept         | chấp nhận, chấp thuận
18    | acceptable     | có thể chấp nhận, chấp thuận
19    | access         | lối, cửa, đường vào
20    | accident       | tainạn, rủiro. by accident:tìnhcờ
21    | accidental     | tình cờ, bất ngờ
22    | accidentally   | tình cờ, ngẫu nhiên
23    | accommodation  | sự thích nghi, sự điều tiết, sự làm cho phù hợp
24    | accompany      | đi theo, đi cùng, kèm theo.
25    | according      | theo, y theo   
26    | account        | tài khoản, kế toán; tính toán, tính đến
27    | accurate       | đúng đắn, chính xác, xác đáng
28    | accurately     | đúng đắn, chính xác
29    | accuse         | tố cáo, buộc tội, kết tội
30    | achieve        | đạt được, dành được
31    | achievement    | thành tích, thành tựu
32    | acid           | axit           
33    | acknowledge    | công nhận, thừa nhận
34    | acquire        | dành được, đạt được, kiếm được
35    | across         | qua, ngang qua 
36    | act            | hànhđộng,hànhvi,cử chỉ, đốixử
37    | action         | hànhđộng,hànhvi,tác động.takeaction:hànhđộng
38    | active         | tích cực hoạt động, nhanh nhẹn
39    | actively       | tích cực hoạt động; nhanh nhẹn, linh lợi; có hiệu lực
40    | activity       | sự tích cực, sự hoạt động, sự nhanh nhẹn, sự linh lợi
41    | actor          | diễn viên nam  
42    | actress        | diễn viên nữ   
43    | actual         | thực tế, có thật
44    | actually       | hiện nay, hiện tại
45    | adapt          | tra, lắp vào   
46    | add            | cộng, thêm vào 
47    | addition       | tính cộng, phép cộng
48    | additional     | thêm vào, tăng thêm
49    | address        | địa chỉ, đề địa chỉ
50    | adequate       | đầy, đầy đủ    
51    | adequately     | tươngxứng, thỏađáng
52    | adjust         | sửa lại cho đúng, điều chỉnh
53    | admiration     | sự khâm phục, thán phục
54    | admire         | khâm phục, thán phục
55    | admit          | nhận vào, cho vào, kết hợp
56    | adopt          | nhận làm con nuôi, bố mẹ nuôi
57    | adult          | người lớn, người trưởng thành; trưởng thành
58    | advance        | sự tiến bộ, tiến lên; đưa lên, đề xuat
59    | advanced       | tiên tiến, tiến bộ, cap cao. in advance trước, sớm
60    | advantage      | sự thuận lợi, lợi ích, lợi thế. take advantage of lợi dụng
61    | adventure      | sự phiêu lưu, mạo hiểm
62    | advertise      | báo cho biết, báo cho biết trước
63    | advertisement  | quảng cáo      
64    | advertising    | sự quảng cáo, nghề quảng cáo
65    | advice         | lời khuyên, lời chỉ bảo
66    | advise         | khuyên, khuyên bảo, răn bảo
67    | affair         | việc           
68    | affect         | làmảnhhưởng,tácđộngđến
69    | affection      | tình cảm, sự yêu mến
70    | afford         | có thể, có đủ khả năng, điều kiện (làm gì)
71    | afraid         | sợ, sợ hãi, hoảng sợ
72    | after          | sau,đằngsau,saukhi
73    | afternoon      | buổi chiều     
74    | afterwards     | sau này, về sau, rồi thì, sau đây
75    | again          | lại, nữa, lần nữa
76    | against        | chống lại, phản đối
77    | age            | tuổi           
78    | aged           | già đi         
79    | agency         | tácdụng,lực; môigiới,trunggian
80    | agent          | đại lý, tác nhân
81    | aggressive     | xâm lược, hung hăng (us: xông xáo)
82    | ago            | trước đây      
83    | agree          | đồng ý, tán thành
84    | agreement      | sự đồng ý, tán thành; hiệp định, hợp đồng
85    | ahead          | trước, về phía trước
86    | aid            | sự giúp đỡ; thêm vào, phụ vào
87    | aim            | sự nhắm (bắn), mục tiêu, ý định; nhắm, tập trung, hướng vào
88    | air            | không khí, bầu không khí, không gian
89    | aircraft       | máy bay, khí cầu
90    | airport        | sân bay, phi trường
91    | alarm          | báo động, báo nguy
92    | alarmed        | báo động       
93    | alarming       | làm lo sợ, làm hốt hoảng, làm sợ hãi
94    | alcohol        | rượu cồn       
95    | alcoholic      | rượu; người nghiện rượu
96    | alive          | sống, vẫn còn sống, còn tồn tại
97    | all            | tất cả         
98    | allied         | liên minh, đồng minh, thông gia
99    | allow          | cho phép, để cho
100   | allright       | tốt, ổn, khỏe mạnh; được
101   | ally           | nước đồng minh, liên minh; liên kết, kết thông gia
102   | almost         | hầu như, gần như
103   | alone          | cô đơn, một mình
104   | along          | dọc theo, theo; theo chiều dài, suốt theo
105   | alongside      | sát cạnh, kế bên, dọc theo
106   | aloud          | lớn tiếng, to tiếng
107   | alphabet       | bảng chữ cái, bước đầu, điều cơ bản
108   | alphabetical   | thuộc bảng chứ cái
109   | alphabetically | theo thứ tự abc
110   | already        | đã, rồi, đã… rồi
111   | also           | cũng, cũng vậy, cũng thế
112   | alter          | thay đổi, biến đổi, sửa đổi
113   | alternative    | sự lựa chọn; lựa chọn
114   | alternatively  | như một sự lựa chọn
115   | although       | mặc dù, dẫu cho
116   | altogether     | hoàn toàn, hầu như; nói chung
117   | always         | luôn luôn      
118   | amaze          | làm ngạc nhiên, làm sửng sốt
119   | amazed         | kinh ngạc, sửng sốt
120   | amazing        | kinh ngạc, sửng sốt
121   | ambition       | hoài bão, khát vọng
122   | ambulance      | xe cứu thương, xe cấp cứu
123   | among          | giữa, ở giữa   
124   | amount         | số lượng, số nhiều; lên tới (money)
125   | amuse          | làm cho vui, thích, làm buồn cười
126   | amused         | vui thích      
127   | amusing        | vui thích      
128   | analyse        | phân tích      
129   | analysis       | sự phân tích   
130   | ancient        | xưa, cổ        
131   | and            | và             
132   | anger          | sự tức giận, sự giận dữ
133   | angle          | góc            
134   | angrily        | tức giận, giận dữ
135   | angry          | giận, tức giận 
136   | animal         | động vật, thú vật
137   | ankle          | mắt cá chân    
138   | anniversary    | ngày, lễ kỉ niệm
139   | announce       | báo, thông báo 
140   | annoy          | chọc tức, làm bực mình; làm phiền, quẫy nhiễu
141   | annoyed        | bị khó chịu, bực mình, bị quấy rầy
142   | annoying       | chọc tức, làm bực mình; làm phiền, quấy nhiễu
143   | annual         | hàng năm, từng năm
144   | annually       | hàng năm, từng năm
145   | another        | khác           
146   | answer         | sự trả lời; trả lời
147   | anti           | chống lại      
148   | anticipate     | thấy trước, chặn trước, lường trước
149   | anxiety        | mối lo âu, sự lo lắng
150   | anxious        | lo âu, lo lắng, băn khoăn
151   | anxiously      | lo âu, lo lắng, băn khoăn
152   | any            | một người, vật nào đó; bất cứ; một chút nào, tí nào
153   | anyone         | người nào, bất cứ ai
154   | anything       | việc gì, vật gì; bất cứ việc gì, vật gì
155   | anyway         | thế nào cũng được, dù sấo chăng nữa
156   | anywhere       | bất cứ chỗ nào, bất cứ nơi đâu
157   | apart          | về một bên, qua một bên
158   | apartment      | căn phòng, căn buồng
159   | apologize      | xin lỗi, tạ lỗi
160   | apparent       | rõ ràng, rành mạch; bề ngoài, có vẻ
161   | apparently     | nhìn bên ngoài, hình như
162   | appeal         | sự kêu gọi, lời kêu gọi; kêu gọi, cầu khẩn
163   | appear         | xuất hiện, hiện ra, trình diện
164   | appearance     | sự xuất hiện, sự trình diện
165   | apple          | quả táo        
166   | application    | sự gắn vào, vật gắn vào; sự chuyên cần, chuyên tâm
167   | apply          | gắn vào, ghép vào, áp dụng vào
168   | appoint        | bổ nhiệm, chỉ định, chọn
169   | appointment    | sự bổ nhiệm, người được bổ nhiệm
170   | appreciate     | thấy rõ; nhận thức
171   | approach       | đến gần, lại gần; sự đến gần, sự lại gần
172   | appropriate    | thíchhợp,thíchđáng
173   | approval       | sự tán thành, đồng ý, sự chấp thuận
174   | approve        | tán thành, đồng ý, chấp thuận
175   | approving      | tán thành, đồng ý, chấp thuận
176   | approximate    | giống với, giống hệt với
177   | approximately  | khoảng chừng, độ chừng
178   | april          | tháng tư       
179   | area           | diện tích, bề mặt
180   | argue          | chứng tỏ, chỉ rõ
181   | argument       | lý lẽ          
182   | arise          | xuất hiện, nảy ra, nảy sinh ra
183   | arm            | cánh tay; vũ trang, trang bị (vũ khí)
184   | armed          | vũ trang       
185   | arms           | vũ khí, binh giới, binh khí
186   | army           | quân đội       
187   | around         | xung quanh, vòng quanh
188   | arrange        | sắp xếp, sắp đặt, sửa soạn
189   | arrangement    | sự sắp xếp, sắp đặt, sự sửa soạn
190   | arrest         | bắt giữ, sự bắt giữ
191   | arrival        | sự đến, sự tới nơi
192   | arrive         | đến, tới nơi   
193   | arrow          | tên, mũi tên   
194   | art            | nghệ thuật, mỹ thuật
195   | article        | bài báo, đề mục
196   | artificial     | nhân tạo       
197   | artificially   | nhân tạo       
198   | artist         | nghệ sĩ        
199   | artistic       | thuộc nghệ thuật, thuộc mỹ thuật
200   | as             | như (as you know…)
201   | ashamed        | ngượng, xấu hổ 
202   | aside          | vềmộtbên,sangmộtbên.asidefrom:ngoàira,trưra
203   | ask            | hỏi            
204   | asleep         | ngủ, đang ngủ. fall asleep ngủ thiếp đi
205   | aspect         | vẻ bề ngoài, diện mạo
206   | assist         | giúp, giúp đỡ; tham dự, có mặt
207   | assistance     | sự giúp đỡ     
208   | assistant      | người giúpđỡ,ngườiphụtá; giúp đỡ
209   | associate      | kết giao, liên kết, kết hợp, cho cộng tác. associated with liên kết với
210   | association    | sự kết hợp, sự liên kết
211   | assume         | mang, khoác, có, lấy (cái vẻ, tính chất…)
212   | assure         | đảm bảo, cấm đoán
213   | atmosphere     | khí quyển      
214   | atom           | nguyên tử      
215   | attach         | gắn, dán, trói, buộc
216   | attached       | gắn bó         
217   | attack         | sự tấn công, sự công kích; tấn công, công kích
218   | attempt        | sự cố gắng, sự thử; cố gắng, thử
219   | attempted      | cố gắng, thử   
220   | attend         | dự, có mặt     
221   | attention      | sự chú ý       
222   | attitude       | thái độ, quan điểm
223   | attorney       | người được ủy quyền
224   | attract        | hút; thu hút, hấp dẫn
225   | attraction     | sự hút, sức hút
226   | attractive     | hút, thu hút, có duyên, lôi cuốn
227   | audience       | thính, khan giả
228   | august         | tháng tám      
229   | aunt           | cô, dì         
230   | author         | tác giả        
231   | authority      | uy quyền, quyền lực
232   | automatic      | tự động        
233   | automatically  | một cách tự động
234   | autumn         | mùa thu (us: mùa thu là fall)
235   | available      | có thể dùng được, có giá trị, hiệu lực
236   | average        | trungbình,sốtrungbình,mứctrungbình
237   | avoid          | tránh, tránh xa
238   | awake          | đánh thức, làm thức dậy
